final_tagging,defects_30d,defects_60d,defects_90d
Attraction Closed,6,20,71
Confirmation Not Received,30,45,60
Voucher Not Accepted,17,30,46
Activity Not As Advertised,18,36,46
No Ticket Needed,13,30,45
Payment issues or double charge,16,34,41
Unclear Meeting Point Location,13,22,38
Too Crowded,16,21,28
No Skip The Line,16,18,26
Extra Charge,6,14,23
Audio Guide Missing or Not in language promised,5,12,15
Missing Items To Bring Info,5,13,13
Unclear Ticket Collection,8,11,13
Supplier Not Responsive,3,4,9
Pickup/Guide Late or No Show,2,4,7
Audio Guide Broken,4,5,6
Aggressive Abusive Behaviour,0,3,6
Scam Fraud,3,5,5
Discriminating Behavior,1,4,5
Unexpected Change to Activity,0,1,5
Unsuitable For Disabled Customers,0,1,4
Unclear Pickup Information,1,3,3
Activity Oversubscribed,3,3,3
Unexpected Cancellation,0,1,3
Lower Price Destination,1,3,3
Guide Language Wrong or Low Proficiency,2,3,3
Duration Not As Advertised,0,2,3
Refund not received,1,1,2
Sexual Harassment Misconduct,1,1,1
Transport Low Quality,1,1,1
Accident Injury,1,1,1
Unsafe Driving,0,0,1
Unsafe Environment,1,1,1
